Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,ReportDate,OffenseCount
4900 BLOCK OF NE 82ND AVE,22-4372,Property,Cully,1/6/2022,0114,Robbery,Robbery,45.558881031,-122.578615573,1/6/2022,1
4900 BLOCK OF NE 82ND AVE,22-5065,Property,Cully,1/6/2022,0230,Motor Vehicle Theft,Motor Vehicle Theft,45.558881031,-122.578615573,1/6/2022,1
4900 BLOCK OF NE 82ND AVE,22-11409,Property,Cully,1/12/2022,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.558881031,-122.578615573,1/13/2022,1
4900 BLOCK OF NE 122ND AVE,22-12090,Property,Argay,1/13/2022,2356,Burglary,Burglary,45.558985154,-122.537854234,1/13/2022,1
4900 BLOCK OF NE 122ND AVE,22-14188,Property,Argay,1/16/2022,0956,Burglary,Burglary,45.558985154,-122.537854234,1/16/2022,1
4900 BLOCK OF NE 122ND AVE,22-17953,Property,Argay,1/20/2022,0858,Burglary,Burglary,45.558985154,-122.537854234,1/20/2022,1
4900 BLOCK OF NE MARTIN LUTHER KING JR BLVD,22-902988,Property,King,1/31/2022,0840,Larceny Offenses,Theft From Building,45.558764358,-122.661572325,1/31/2022,1
4900 BLOCK OF NE RODNEY AVE,22-902920,Property,King,1/29/2022,1845,Vandalism,Vandalism,45.558752424,-122.664540106,1/30/2022,1
4900 BLOCK OF S CORBETT AVE,22-900018,Property,South Portland,12/30/2021,1500,Larceny Offenses,Theft From Motor Vehicle,45.487604727,-122.676687156,1/2/2022,1
4900 BLOCK OF S CORBETT AVE,22-900093,Property,South Portland,1/1/2022,0816,Larceny Offenses,Theft From Motor Vehicle,45.487604727,-122.676687156,1/3/2022,1
4900 BLOCK OF S CORBETT AVE,22-900787,Property,South Portland,1/1/2022,1500,Vandalism,Vandalism,45.487604727,-122.676687156,1/4/2022,1
4900 BLOCK OF S LANDING DR,22-25002,Property,South Portland,1/26/2022,1740,Vandalism,Vandalism,45.488025341,-122.673746520,1/27/2022,1
4900 BLOCK OF SE 28TH AVE,22-27231,Property,Reed,1/28/2022,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.487351408,-122.637444635,1/29/2022,1
4900 BLOCK OF SE 52ND AVE,22-901413,Property,Woodstock,12/30/2021,0510,Vandalism,Vandalism,45.486982808,-122.608706831,1/14/2022,1
4900 BLOCK OF SE 82ND AVE,22-5278,Property,Foster-Powell,1/6/2022,2248,Vandalism,Vandalism,45.486751916,-122.578937169,1/6/2022,1
4900 BLOCK OF SE 82ND AVE,22-23886,Property,Foster-Powell,1/26/2022,0211,Vandalism,Vandalism,45.487040086,-122.578932112,1/26/2022,1
4900 BLOCK OF SE 88TH AVE,22-10292,Property,Lents,1/11/2022,1000,Larceny Offenses,Theft From Building,45.486621202,-122.572356136,1/12/2022,1
